drug1.conc,drug2.conc,drug3.conc,drug4.conc,E
1,1,4.472,0.2236,0.147
1,1,4.472,1,0.1144
1,1,4.472,4.472,0.06119
1,1,4.472,20,0.04436
1,1,20,0,0.1551
1,1,20,0.05,0.1677
1,1,20,0.2236,0.1447
1,1,20,1,0.1025
1,1,20,4.472,0.05179
1,1,20,20,0.04091
4.472,1,0,0,0.4303
4.472,1,0,0.05,0.3575
4.472,1,0,0.2236,0.3412
4.472,1,0,1,0.243
4.472,1,0,4.472,0.1357
4.472,1,0,20,0.08747
4.472,1,0.05,0,0.4085
4.472,1,0.05,0.05,0.3691
4.472,1,0.05,0.2236,0.3154
4.472,1,0.05,1,0.2261
4.472,1,0.05,4.472,0.1334
4.472,1,0.05,20,0.09375
4.472,1,0.2236,0,0.3824
4.472,1,0.2236,0.05,0.3631
4.472,1,0.2236,0.2236,0.377
4.472,1,0.2236,1,0.215
4.472,1,0.2236,4.472,0.1331
4.472,1,0.2236,20,0.09143
4.472,1,1,0,0.269
4.472,1,1,0.05,0.2533
4.472,1,1,0.2236,0.2179
4.472,1,1,1,0.1665
4.472,1,1,4.472,0.07736
4.472,1,1,20,0.05764
4.472,1,4.472,0,0.1275
4.472,1,4.472,0.05,0.116
4.472,1,4.472,0.2236,0.1015
4.472,1,4.472,1,0.07413
4.472,1,4.472,4.472,0.03974
4.472,1,4.472,20,0.0266
4.472,1,20,0,0.1155
4.472,1,20,0.05,0.1048
4.472,1,20,0.2236,0.1002
4.472,1,20,1,0.06839
4.472,1,20,4.472,0.04222
4.472,1,20,20,0.02734
20,1,0,0,0.3805
20,1,0,0.05,0.3488
20,1,0,0.2236,0.3356
20,1,0,1,0.2048
20,1,0,4.472,0.1305
20,1,0,20,0.08347
20,1,0.05,0,0.3966
20,1,0.05,0.05,0.3606
20,1,0.05,0.2236,0.286
20,1,0.05,1,0.2368
20,1,0.05,4.472,0.1222
20,1,0.05,20,0.08658
20,1,0.2236,0,0.3635
20,1,0.2236,0.05,0.3599
20,1,0.2236,0.2236,0.2997
20,1,0.2236,1,0.2179
20,1,0.2236,4.472,0.1183
20,1,0.2236,20,0.08326
20,1,1,0,0.2054
20,1,1,0.05,0.253
20,1,1,0.2236,0.1961
20,1,1,1,0.1564
20,1,1,4.472,0.09019
20,1,1,20,0.05871
20,1,4.472,0,0.1158
20,1,4.472,0.05,0.1046
20,1,4.472,0.2236,0.1033
20,1,4.472,1,0.07527
20,1,4.472,4.472,0.03924
20,1,4.472,20,0.026
20,1,20,0,0.1148
20,1,20,0.05,0.1129
20,1,20,0.2236,0.1014
20,1,20,1,0.07215
20,1,20,4.472,0.03793
20,1,20,20,0.02862
0,4.472,0,0,0.7197
0,4.472,0,0.05,0.6719
0,4.472,0,0.2236,0.5085
0,4.472,0,1,0.3773
0,4.472,0,4.472,0.2175
0,4.472,0,20,0.1527
0,4.472,0.05,0,0.6743
0,4.472,0.05,0.05,0.6272
0,4.472,0.05,0.2236,0.5857
0,4.472,0.05,1,0.3945
0,4.472,0.05,4.472,0.2277
0,4.472,0.05,20,0.1527
0,4.472,0.2236,0,0.6443
0,4.472,0.2236,0.05,0.6269
0,4.472,0.2236,0.2236,0.5756
0,4.472,0.2236,1,0.3894
0,4.472,0.2236,4.472,0.2268
0,4.472,0.2236,20,0.1544
0,4.472,1,0,0.4455
0,4.472,1,0.05,0.4064
0,4.472,1,0.2236,0.3611
0,4.472,1,1,0.2424
0,4.472,1,4.472,0.1452
0,4.472,1,20,0.09581
0,4.472,4.472,0,0.2018
0,4.472,4.472,0.05,0.2009
0,4.472,4.472,0.2236,0.1684
0,4.472,4.472,1,0.1266
0,4.472,4.472,4.472,0.06492
0,4.472,4.472,20,0.04505
0,4.472,20,0,0.1848
0,4.472,20,0.05,0.2091
0,4.472,20,0.2236,0.1712
0,4.472,20,1,0.1229
0,4.472,20,4.472,0.06767
0,4.472,20,20,0.04419
0.05,4.472,0,0,0.6829
0.05,4.472,0,0.05,0.6276
0.05,4.472,0,0.2236,0.6111
0.05,4.472,0,1,0.38
0.05,4.472,0,4.472,0.2131
0.05,4.472,0,20,0.165
0.05,4.472,0.05,0,0.6416
0.05,4.472,0.05,0.05,0.642
0.05,4.472,0.05,0.2236,0.5848
0.05,4.472,0.05,1,0.3886
0.05,4.472,0.05,4.472,0.2257
0.05,4.472,0.05,20,0.1583
0.05,4.472,0.2236,0,0.6195
0.05,4.472,0.2236,0.05,0.6318
0.05,4.472,0.2236,0.2236,0.6088
0.05,4.472,0.2236,1,0.4098
0.05,4.472,0.2236,4.472,0.2124
0.05,4.472,0.2236,20,0.1538
0.05,4.472,1,0,0.3884
0.05,4.472,1,0.05,0.4434
0.05,4.472,1,0.2236,0.405
0.05,4.472,1,1,0.2644
0.05,4.472,1,4.472,0.153
0.05,4.472,1,20,0.1018
0.05,4.472,4.472,0,0.2013
0.05,4.472,4.472,0.05,0.1932
0.05,4.472,4.472,0.2236,0.1648
0.05,4.472,4.472,1,0.1256
0.05,4.472,4.472,4.472,0.07675
0.05,4.472,4.472,20,0.04684
0.05,4.472,20,0,0.2006
0.05,4.472,20,0.05,0.2
0.05,4.472,20,0.2236,0.1703
0.05,4.472,20,1,0.1307
0.05,4.472,20,4.472,0.07249
0.05,4.472,20,20,0.04734
0.2236,4.472,0,0,0.6226
0.2236,4.472,0,0.05,0.6355
0.2236,4.472,0,0.2236,0.5832
0.2236,4.472,0,1,0.3984
0.2236,4.472,0,4.472,0.2255
0.2236,4.472,0,20,0.1473
0.2236,4.472,0.05,0,0.6868
0.2236,4.472,0.05,0.05,0.553
0.2236,4.472,0.05,0.2236,0.5032
0.2236,4.472,0.05,1,0.3777
0.2236,4.472,0.05,4.472,0.2126
0.2236,4.472,0.05,20,0.1462
0.2236,4.472,0.2236,0,0.6735
0.2236,4.472,0.2236,0.05,0.5937
0.2236,4.472,0.2236,0.2236,0.5897
0.2236,4.472,0.2236,1,0.3809
0.2236,4.472,0.2236,4.472,0.1993
0.2236,4.472,0.2236,20,0.1248
0.2236,4.472,1,0,0.3825
0.2236,4.472,1,0.05,0.4108
0.2236,4.472,1,0.2236,0.375
0.2236,4.472,1,1,0.2234
0.2236,4.472,1,4.472,0.1503
0.2236,4.472,1,20,0.09834
0.2236,4.472,4.472,0,0.1855
0.2236,4.472,4.472,0.05,0.1639
0.2236,4.472,4.472,0.2236,0.176
0.2236,4.472,4.472,1,0.125
0.2236,4.472,4.472,4.472,0.06256
0.2236,4.472,4.472,20,0.04826
0.2236,4.472,20,0,0.1932
0.2236,4.472,20,0.05,0.1955
0.2236,4.472,20,0.2236,0.1694
0.2236,4.472,20,1,0.1137
0.2236,4.472,20,4.472,0.06704
0.2236,4.472,20,20,0.04434
1,4.472,0,0,0.5128
1,4.472,0,0.05,0.4672
1,4.472,0,0.2236,0.4189
1,4.472,0,1,0.2837
1,4.472,0,4.472,0.1659
1,4.472,0,20,0.1209
1,4.472,0.05,0,0.5079
1,4.472,0.05,0.05,0.5124
1,4.472,0.05,0.2236,0.3796
1,4.472,0.05,1,0.282
1,4.472,0.05,4.472,0.1644
1,4.472,0.05,20,0.1179
1,4.472,0.2236,0,0.4968
1,4.472,0.2236,0.05,0.5047
1,4.472,0.2236,0.2236,0.4093
1,4.472,0.2236,1,0.2956
1,4.472,0.2236,4.472,0.1862
1,4.472,0.2236,20,0.1264
1,4.472,1,0,0.3367
1,4.472,1,0.05,0.3083
1,4.472,1,0.2236,0.2761
1,4.472,1,1,0.1954
1,4.472,1,4.472,0.1085
1,4.472,1,20,0.07835
1,4.472,4.472,0,0.1481
1,4.472,4.472,0.05,0.1587
1,4.472,4.472,0.2236,0.1309
1,4.472,4.472,1,0.09574
1,4.472,4.472,4.472,0.05014
1,4.472,4.472,20,0.03525
1,4.472,20,0,0.1637
1,4.472,20,0.05,0.1493
1,4.472,20,0.2236,0.1182
1,4.472,20,1,0.07652
1,4.472,20,4.472,0.05217
1,4.472,20,20,0.03881
4.472,4.472,0,0,0.3487
4.472,4.472,0,0.05,0.3128
4.472,4.472,0,0.2236,0.2956
4.472,4.472,0,1,0.2216
4.472,4.472,0,4.472,0.1259
4.472,4.472,0,20,0.08716
4.472,4.472,0.05,0,0.3347
4.472,4.472,0.05,0.05,0.3303
4.472,4.472,0.05,0.2236,0.3162
4.472,4.472,0.05,1,0.2078
4.472,4.472,0.05,4.472,0.1233
4.472,4.472,0.05,20,0.07703
4.472,4.472,0.2236,0,0.3371
4.472,4.472,0.2236,0.05,0.3121
4.472,4.472,0.2236,0.2236,0.2752
4.472,4.472,0.2236,1,0.2184
4.472,4.472,0.2236,4.472,0.1234
4.472,4.472,0.2236,20,0.08079
4.472,4.472,1,0,0.2288
4.472,4.472,1,0.05,0.2139
4.472,4.472,1,0.2236,0.1842
4.472,4.472,1,1,0.1284
4.472,4.472,1,4.472,0.08268
4.472,4.472,1,20,0.06136
4.472,4.472,4.472,0,0.1122
4.472,4.472,4.472,0.05,0.108
4.472,4.472,4.472,0.2236,0.09508
4.472,4.472,4.472,1,0.06463
4.472,4.472,4.472,4.472,0.0337
4.472,4.472,4.472,20,0.02417
4.472,4.472,20,0,0.09698
4.472,4.472,20,0.05,0.1034
4.472,4.472,20,0.2236,0.08924
4.472,4.472,20,1,0.06343
4.472,4.472,20,4.472,0.0342
4.472,4.472,20,20,0.02371
20,4.472,0,0,0.3379
20,4.472,0,0.05,0.2978
20,4.472,0,0.2236,0.3035
20,4.472,0,1,0.1914
20,4.472,0,4.472,0.1141
20,4.472,0,20,0.08172
20,4.472,0.05,0,0.3407
20,4.472,0.05,0.05,0.3111
20,4.472,0.05,0.2236,0.2535
20,4.472,0.05,1,0.1954
20,4.472,0.05,4.472,0.1179
20,4.472,0.05,20,0.07931
20,4.472,0.2236,0,0.3385
20,4.472,0.2236,0.05,0.297
20,4.472,0.2236,0.2236,0.2657
20,4.472,0.2236,1,0.2055
20,4.472,0.2236,4.472,0.1205
20,4.472,0.2236,20,0.08052
20,4.472,1,0,0.2129
20,4.472,1,0.05,0.211
20,4.472,1,0.2236,0.177
20,4.472,1,1,0.1309
20,4.472,1,4.472,0.07331
20,4.472,1,20,0.05299
20,4.472,4.472,0,0.09946
20,4.472,4.472,0.05,0.09626
20,4.472,4.472,0.2236,0.08251
20,4.472,4.472,1,0.06351
20,4.472,4.472,4.472,0.03614
20,4.472,4.472,20,0.02214
20,4.472,20,0,0.09665
20,4.472,20,0.05,0.09711
20,4.472,20,0.2236,0.08758
20,4.472,20,1,0.06607
20,4.472,20,4.472,0.03184
20,4.472,20,20,0.02403
0,20,0,0,0.5503
0,20,0,0.05,0.5292
0,20,0,0.2236,0.5254
0,20,0,1,0.3408
0,20,0,4.472,0.192
0,20,0,20,0.135
0,20,0.05,0,0.5606
0,20,0.05,0.05,0.5799
0,20,0.05,0.2236,0.4981
0,20,0.05,1,0.3636
0,20,0.05,4.472,0.1971
0,20,0.05,20,0.1488
0,20,0.2236,0,0.581
0,20,0.2236,0.05,0.6257
0,20,0.2236,0.2236,0.499
0,20,0.2236,1,0.3349
0,20,0.2236,4.472,0.1977
0,20,0.2236,20,0.1416
0,20,1,0,0.3787
0,20,1,0.05,0.3508
0,20,1,0.2236,0.3181
0,20,1,1,0.2322
0,20,1,4.472,0.1292
0,20,1,20,0.08966
0,20,4.472,0,0.1881
0,20,4.472,0.05,0.1799
0,20,4.472,0.2236,0.1569
0,20,4.472,1,0.1122
0,20,4.472,4.472,0.05905
0,20,4.472,20,0.04112
0,20,20,0,0.1675
0,20,20,0.05,0.1833
0,20,20,0.2236,0.1528
0,20,20,1,0.1109
0,20,20,4.472,0.06091
0,20,20,20,0.04224
0.05,20,0,0,0.4817
0.05,20,0,0.05,0.5881
0.05,20,0,0.2236,0.4898
0.05,20,0,1,0.3492
0.05,20,0,4.472,0.2031
0.05,20,0,20,0.1419
0.05,20,0.05,0,0.5706
0.05,20,0.05,0.05,0.5661
0.05,20,0.05,0.2236,0.5042
0.05,20,0.05,1,0.3425
0.05,20,0.05,4.472,0.2082
0.05,20,0.05,20,0.1399
0.05,20,0.2236,0,0.514
0.05,20,0.2236,0.05,0.6046
0.05,20,0.2236,0.2236,0.5183
0.05,20,0.2236,1,0.3872
0.05,20,0.2236,4.472,0.2023
0.05,20,0.2236,20,0.137
0.05,20,1,0,0.3681
0.05,20,1,0.05,0.3983
0.05,20,1,0.2236,0.3141
0.05,20,1,1,0.2179
0.05,20,1,4.472,0.1339
0.05,20,1,20,0.08086
0.05,20,4.472,0,0.1652
0.05,20,4.472,0.05,0.1673
0.05,20,4.472,0.2236,0.1595
0.05,20,4.472,1,0.112
0.05,20,4.472,4.472,0.0722
0.05,20,4.472,20,0.04346
0.05,20,20,0,0.1722
0.05,20,20,0.05,0.1595
0.05,20,20,0.2236,0.1481
0.05,20,20,1,0.1088
0.05,20,20,4.472,0.06411
0.05,20,20,20,0.04293
0.2236,20,0,0,0.6093
0.2236,20,0,0.05,0.5764
0.2236,20,0,0.2236,0.4701
0.2236,20,0,1,0.3415
0.2236,20,0,4.472,0.1882
0.2236,20,0,20,0.1277
0.2236,20,0.05,0,0.5524
0.2236,20,0.05,0.05,0.5569
0.2236,20,0.05,0.2236,0.4931
0.2236,20,0.05,1,0.3443
0.2236,20,0.05,4.472,0.2002
0.2236,20,0.05,20,0.1486
0.2236,20,0.2236,0,0.6018
0.2236,20,0.2236,0.05,0.5323
0.2236,20,0.2236,0.2236,0.4804
0.2236,20,0.2236,1,0.3282
0.2236,20,0.2236,4.472,0.1867
0.2236,20,0.2236,20,0.1375
0.2236,20,1,0,0.372
0.2236,20,1,0.05,0.3818
0.2236,20,1,0.2236,0.3288
0.2236,20,1,1,0.2229
0.2236,20,1,4.472,0.1109
0.2236,20,1,20,0.09522
0.2236,20,4.472,0,0.1822
0.2236,20,4.472,0.05,0.1686
0.2236,20,4.472,0.2236,0.1487
0.2236,20,4.472,1,0.1062
0.2236,20,4.472,4.472,0.05273
0.2236,20,4.472,20,0.04191
0.2236,20,20,0,0.197
0.2236,20,20,0.05,0.1822
0.2236,20,20,0.2236,0.1483
0.2236,20,20,1,0.1017
0.2236,20,20,4.472,0.0613
0.2236,20,20,20,0.04713
1,20,0,0,0.4359
1,20,0,0.05,0.4314
1,20,0,0.2236,0.3711
1,20,0,1,0.2779
1,20,0,4.472,0.1514
1,20,0,20,0.09972
1,20,0.05,0,0.4693
1,20,0.05,0.05,0.4033
1,20,0.05,0.2236,0.392
1,20,0.05,1,0.2625
1,20,0.05,4.472,0.1765
1,20,0.05,20,0.1123
1,20,0.2236,0,0.4055
1,20,0.2236,0.05,0.3867
1,20,0.2236,0.2236,0.3665
1,20,0.2236,1,0.2881
1,20,0.2236,4.472,0.1551
1,20,0.2236,20,0.1063
1,20,1,0,0.2875
1,20,1,0.05,0.2822
1,20,1,0.2236,0.2692
1,20,1,1,0.1726
1,20,1,4.472,0.09615
1,20,1,20,0.0667
1,20,4.472,0,0.1334
1,20,4.472,0.05,0.131
1,20,4.472,0.2236,0.1218
1,20,4.472,1,0.0846
1,20,4.472,4.472,0.04928
1,20,4.472,20,0.03522
1,20,20,0,0.1313
1,20,20,0.05,0.1277
1,20,20,0.2236,0.1102
1,20,20,1,0.07652
1,20,20,4.472,0.04719
1,20,20,20,0.03094
4.472,20,0,0,0.3095
4.472,20,0,0.05,0.2857
4.472,20,0,0.2236,0.29
4.472,20,0,1,0.18
4.472,20,0,4.472,0.11
4.472,20,0,20,0.06881
4.472,20,0.05,0,0.3191
4.472,20,0.05,0.05,0.334
4.472,20,0.05,0.2236,0.2667
4.472,20,0.05,1,0.1818
4.472,20,0.05,4.472,0.1131
4.472,20,0.05,20,0.07485
4.472,20,0.2236,0,0.2819
4.472,20,0.2236,0.05,0.3043
4.472,20,0.2236,0.2236,0.2655
4.472,20,0.2236,1,0.1952
4.472,20,0.2236,4.472,0.1057
4.472,20,0.2236,20,0.07649
4.472,20,1,0,0.1958
4.472,20,1,0.05,0.1746
4.472,20,1,0.2236,0.1616
4.472,20,1,1,0.1271
4.472,20,1,4.472,0.06984
4.472,20,1,20,0.04391
4.472,20,4.472,0,0.09582
4.472,20,4.472,0.05,0.09305
4.472,20,4.472,0.2236,0.08458
4.472,20,4.472,1,0.06206
4.472,20,4.472,4.472,0.03454
4.472,20,4.472,20,0.02117
4.472,20,20,0,0.09306
4.472,20,20,0.05,0.08723
4.472,20,20,0.2236,0.08145
4.472,20,20,1,0.05742
4.472,20,20,4.472,0.03075
4.472,20,20,20,0.02162
20,20,0,0,0.3018
20,20,0,0.05,0.2906
20,20,0,0.2236,0.2564
20,20,0,1,0.1793
20,20,0,4.472,0.09955
20,20,0,20,0.07649
20,20,0.05,0,0.2925
20,20,0.05,0.05,0.298
20,20,0.05,0.2236,0.2331
20,20,0.05,1,0.1732
20,20,0.05,4.472,0.0992
20,20,0.05,20,0.06203
20,20,0.2236,0,0.2746
20,20,0.2236,0.05,0.2873
20,20,0.2236,0.2236,0.2614
20,20,0.2236,1,0.1807
20,20,0.2236,4.472,0.1031
20,20,0.2236,20,0.0707
20,20,1,0,0.1972
20,20,1,0.05,0.1909
20,20,1,0.2236,0.1561
20,20,1,1,0.1214
20,20,1,4.472,0.06243
20,20,1,20,0.04564
20,20,4.472,0,0.08892
20,20,4.472,0.05,0.08589
20,20,4.472,0.2236,0.07519
20,20,4.472,1,0.05376
20,20,4.472,4.472,0.03526
20,20,4.472,20,0.02194
20,20,20,0,0.08762
20,20,20,0.05,0.09569
20,20,20,0.2236,0.07596
20,20,20,1,0.0524
20,20,20,4.472,0.02954
20,20,20,20,0.01955
0,0,0,0,0.9164
0,0,0,0.05,0.8858
0,0,0,0.2236,0.9102
0,0,0,1,0.5832
0,0,0,4.472,0.3546
0,0,0,20,0.24
0,0,0.05,0,1
0,0,0.05,0.05,0.9398
0,0,0.05,0.2236,0.8581
0,0,0.05,1,0.5995
0,0,0.05,4.472,0.3599
0,0,0.05,20,0.2248
0,0,0.2236,0,0.8656
0,0,0.2236,0.05,0.987
0,0,0.2236,0.2236,0.8035
0,0,0.2236,1,0.5844
0,0,0.2236,4.472,0.358
0,0,0.2236,20,0.2303
0,0,1,0,0.6707
0,0,1,0.05,0.633
0,0,1,0.2236,0.5768
0,0,1,1,0.3811
0,0,1,4.472,0.2272
0,0,1,20,0.1645
0,0,4.472,0,0.3062
0,0,4.472,0.05,0.261
0,0,4.472,0.2236,0.252
0,0,4.472,1,0.1946
0,0,4.472,4.472,0.1025
0,0,4.472,20,0.07131
0,0,20,0,0.3144
0,0,20,0.05,0.2934
0,0,20,0.2236,0.2518
0,0,20,1,0.177
0,0,20,4.472,0.104
0,0,20,20,0.07076
0.05,0,0,0,0.9858
0.05,0,0,0.05,0.9046
0.05,0,0,0.2236,0.9068
0.05,0,0,1,0.6236
0.05,0,0,4.472,0.3423
0.05,0,0,20,0.2518
0.05,0,0.05,0,1
0.05,0,0.05,0.05,0.9904
0.05,0,0.05,0.2236,0.9331
0.05,0,0.05,1,0.5677
0.05,0,0.05,4.472,0.3524
0.05,0,0.05,20,0.2537
0.05,0,0.2236,0,0.9959
0.05,0,0.2236,0.05,0.9839
0.05,0,0.2236,0.2236,0.8012
0.05,0,0.2236,1,0.643
0.05,0,0.2236,4.472,0.3574
0.05,0,0.2236,20,0.25
0.05,0,1,0,0.6656
0.05,0,1,0.05,0.597
0.05,0,1,0.2236,0.5319
0.05,0,1,1,0.3865
0.05,0,1,4.472,0.2245
0.05,0,1,20,0.1493
0.05,0,4.472,0,0.3049
0.05,0,4.472,0.05,0.309
0.05,0,4.472,0.2236,0.2428
0.05,0,4.472,1,0.1942
0.05,0,4.472,4.472,0.1035
0.05,0,4.472,20,0.0763
0.05,0,20,0,0.3124
0.05,0,20,0.05,0.2836
0.05,0,20,0.2236,0.2606
0.05,0,20,1,0.1851
0.05,0,20,4.472,0.1022
0.05,0,20,20,0.06876
0.2236,0,0,0,0.983
0.2236,0,0,0.05,0.9525
0.2236,0,0,0.2236,0.8472
0.2236,0,0,1,0.6602
0.2236,0,0,4.472,0.3215
0.2236,0,0,20,0.2336
0.2236,0,0.05,0,0.9484
0.2236,0,0.05,0.05,0.9204
0.2236,0,0.05,0.2236,0.827
0.2236,0,0.05,1,0.58
0.2236,0,0.05,4.472,0.3287
0.2236,0,0.05,20,0.2487
0.2236,0,0.2236,0,1
0.2236,0,0.2236,0.05,0.8755
0.2236,0,0.2236,0.2236,0.8077
0.2236,0,0.2236,1,0.6256
0.2236,0,0.2236,4.472,0.3216
0.2236,0,0.2236,20,0.2356
0.2236,0,1,0,0.6203
0.2236,0,1,0.05,0.6579
0.2236,0,1,0.2236,0.4991
0.2236,0,1,1,0.3651
0.2236,0,1,4.472,0.2221
0.2236,0,1,20,0.1458
0.2236,0,4.472,0,0.3185
0.2236,0,4.472,0.05,0.2774
0.2236,0,4.472,0.2236,0.2364
0.2236,0,4.472,1,0.1836
0.2236,0,4.472,4.472,0.09022
0.2236,0,4.472,20,0.07256
0.2236,0,20,0,0.2743
0.2236,0,20,0.05,0.2704
0.2236,0,20,0.2236,0.273
0.2236,0,20,1,0.1681
0.2236,0,20,4.472,0.0993
0.2236,0,20,20,0.06857
1,0,0,0,0.7059
1,0,0,0.05,0.7168
1,0,0,0.2236,0.6005
1,0,0,1,0.4601
1,0,0,4.472,0.2599
1,0,0,20,0.1609
1,0,0.05,0,0.7446
1,0,0.05,0.05,0.7529
1,0,0.05,0.2236,0.5964
1,0,0.05,1,0.4458
1,0,0.05,4.472,0.2217
1,0,0.05,20,0.1835
1,0,0.2236,0,0.7347
1,0,0.2236,0.05,0.6876
1,0,0.2236,0.2236,0.6266
1,0,0.2236,1,0.4473
1,0,0.2236,4.472,0.2765
1,0,0.2236,20,0.1759
1,0,1,0,0.4464
1,0,1,0.05,0.511
1,0,1,0.2236,0.4315
1,0,1,1,0.2609
1,0,1,4.472,0.1826
1,0,1,20,0.1165
1,0,4.472,0,0.2393
1,0,4.472,0.05,0.2201
1,0,4.472,0.2236,0.2081
1,0,4.472,1,0.128
1,0,4.472,4.472,0.0764
1,0,4.472,20,0.05871
1,0,20,0,0.2366
1,0,20,0.05,0.2217
1,0,20,0.2236,0.1947
1,0,20,1,0.1382
1,0,20,4.472,0.07351
1,0,20,20,0.05068
4.472,0,0,0,0.5567
4.472,0,0,0.05,0.4547
4.472,0,0,0.2236,0.4553
4.472,0,0,1,0.3097
4.472,0,0,4.472,0.1732
4.472,0,0,20,0.1289
4.472,0,0.05,0,0.5129
4.472,0,0.05,0.05,0.5179
4.472,0,0.05,0.2236,0.5003
4.472,0,0.05,1,0.3144
4.472,0,0.05,4.472,0.1797
4.472,0,0.05,20,0.1315
4.472,0,0.2236,0,0.536
4.472,0,0.2236,0.05,0.5048
4.472,0,0.2236,0.2236,0.4682
4.472,0,0.2236,1,0.3141
4.472,0,0.2236,4.472,0.1725
4.472,0,0.2236,20,0.1201
4.472,0,1,0,0.3503
4.472,0,1,0.05,0.293
4.472,0,1,0.2236,0.3007
4.472,0,1,1,0.2001
4.472,0,1,4.472,0.13
4.472,0,1,20,0.07931
4.472,0,4.472,0,0.1682
4.472,0,4.472,0.05,0.1585
4.472,0,4.472,0.2236,0.1504
4.472,0,4.472,1,0.1047
4.472,0,4.472,4.472,0.05562
4.472,0,4.472,20,0.03425
4.472,0,20,0,0.1668
4.472,0,20,0.05,0.1457
4.472,0,20,0.2236,0.1321
4.472,0,20,1,0.1011
4.472,0,20,4.472,0.05654
4.472,0,20,20,0.03837
20,0,0,0,0.5211
20,0,0,0.05,0.5106
20,0,0,0.2236,0.4124
20,0,0,1,0.3023
20,0,0,4.472,0.1738
20,0,0,20,0.1236
20,0,0.05,0,0.5283
20,0,0.05,0.05,0.4965
20,0,0.05,0.2236,0.3989
20,0,0.05,1,0.3106
20,0,0.05,4.472,0.1682
20,0,0.05,20,0.1132
20,0,0.2236,0,0.4945
20,0,0.2236,0.05,0.4275
20,0,0.2236,0.2236,0.3905
20,0,0.2236,1,0.278
20,0,0.2236,4.472,0.1665
20,0,0.2236,20,0.1108
20,0,1,0,0.3153
20,0,1,0.05,0.3113
20,0,1,0.2236,0.2941
20,0,1,1,0.1874
20,0,1,4.472,0.1119
20,0,1,20,0.08461
20,0,4.472,0,0.1562
20,0,4.472,0.05,0.1468
20,0,4.472,0.2236,0.1371
20,0,4.472,1,0.1039
20,0,4.472,4.472,0.05491
20,0,4.472,20,0.03764
20,0,20,0,0.1467
20,0,20,0.05,0.1378
20,0,20,0.2236,0.1104
20,0,20,1,0.08815
20,0,20,4.472,0.0518
20,0,20,20,0.03457
0,0.05,0,0,0.8682
0,0.05,0,0.05,0.8443
0,0.05,0,0.2236,0.7921
0,0.05,0,1,0.4978
0,0.05,0,4.472,0.3182
0,0.05,0,20,0.2282
0,0.05,0.05,0,0.9011
0,0.05,0.05,0.05,0.793
0,0.05,0.05,0.2236,0.7524
0,0.05,0.05,1,0.5243
0,0.05,0.05,4.472,0.3182
0,0.05,0.05,20,0.2081
0,0.05,0.2236,0,0.9229
0,0.05,0.2236,0.05,0.8788
0,0.05,0.2236,0.2236,0.7585
0,0.05,0.2236,1,0.5182
0,0.05,0.2236,4.472,0.3186
0,0.05,0.2236,20,0.2074
0,0.05,1,0,0.6011
0,0.05,1,0.05,0.6492
0,0.05,1,0.2236,0.4786
0,0.05,1,1,0.3525
0,0.05,1,4.472,0.2149
0,0.05,1,20,0.1549
0,0.05,4.472,0,0.2942
0,0.05,4.472,0.05,0.259
0,0.05,4.472,0.2236,0.2275
0,0.05,4.472,1,0.1683
0,0.05,4.472,4.472,0.0971
0,0.05,4.472,20,0.0701
0,0.05,20,0,0.2646
0,0.05,20,0.05,0.267
0,0.05,20,0.2236,0.2371
0,0.05,20,1,0.1718
0,0.05,20,4.472,0.0817
0,0.05,20,20,0.06626
0.05,0.05,0,0,0.891
0.05,0.05,0,0.05,0.9424
0.05,0.05,0,0.2236,0.8276
0.05,0.05,0,1,0.5912
0.05,0.05,0,4.472,0.3144
0.05,0.05,0,20,0.2379
0.05,0.05,0.05,0,0.9343
0.05,0.05,0.05,0.05,0.8696
0.05,0.05,0.05,0.2236,0.8182
0.05,0.05,0.05,1,0.4889
0.05,0.05,0.05,4.472,0.2867
0.05,0.05,0.05,20,0.2292
0.05,0.05,0.2236,0,0.944
0.05,0.05,0.2236,0.05,0.8315
0.05,0.05,0.2236,0.2236,0.7785
0.05,0.05,0.2236,1,0.547
0.05,0.05,0.2236,4.472,0.2771
0.05,0.05,0.2236,20,0.1952
0.05,0.05,1,0,0.5743
0.05,0.05,1,0.05,0.6141
0.05,0.05,1,0.2236,0.5002
0.05,0.05,1,1,0.3594
0.05,0.05,1,4.472,0.2114
0.05,0.05,1,20,0.1251
0.05,0.05,4.472,0,0.2616
0.05,0.05,4.472,0.05,0.2716
0.05,0.05,4.472,0.2236,0.2366
0.05,0.05,4.472,1,0.1792
0.05,0.05,4.472,4.472,0.09465
0.05,0.05,4.472,20,0.06346
0.05,0.05,20,0,0.2779
0.05,0.05,20,0.05,0.2588
0.05,0.05,20,0.2236,0.2228
0.05,0.05,20,1,0.1647
0.05,0.05,20,4.472,0.09181
0.05,0.05,20,20,0.06695
0.2236,0.05,0,0,0.906
0.2236,0.05,0,0.05,0.8452
0.2236,0.05,0,0.2236,0.7232
0.2236,0.05,0,1,0.5341
0.2236,0.05,0,4.472,0.3252
0.2236,0.05,0,20,0.2053
0.2236,0.05,0.05,0,0.8822
0.2236,0.05,0.05,0.05,0.816
0.2236,0.05,0.05,0.2236,0.71
0.2236,0.05,0.05,1,0.5297
0.2236,0.05,0.05,4.472,0.2846
0.2236,0.05,0.05,20,0.1967
0.2236,0.05,0.2236,0,0.8702
